0 0 57.5652
0 1 59.8614
0 2 60.0087
0 3 59.987
0 4 60.0478
0 5 59.9623
0 6 60.0135
0 7 60.0741
0 8 60.0326
0 9 60.0054
0 10 59.982
0 11 59.9714
0 12 59.9762
0 13 59.9755
0 14 60.0077
0 15 59.9845
0 16 60.0317
0 17 60.0514
0 18 59.9808
0 19 59.967
0 20 60.0534
0 21 60.1294
0 22 60.156
0 23 60.1009
0 24 60.1352
0 25 60.0807
0 26 60.0484
0 27 60.0597
0 28 60.0932
0 29 60.0677
0 30 60.016
0 31 59.9993
0 32 60.003
0 33 59.999
0 34 60.003
0 35 59.9823
0 36 60.0189
0 37 59.9822
0 38 60.0253
0 39 59.9822
1 0 60.8251
1 1 60.8751
1 2 60.907
1 3 60.9325
1 4 60.913
1 5 61.0683
1 6 61.2347
1 7 61.2684
1 8 61.3182
1 9 61.3539
1 10 61.3281
1 11 61.3575
1 12 61.2779
1 13 61.3477
1 14 61.355
1 15 61.4005
1 16 61.3853
1 17 61.3998
1 18 61.4019
1 19 61.4375
1 20 61.3706
1 21 61.361
1 22 61.3608
1 23 61.3586
1 24 61.3695
1 25 61.4049
1 26 61.3486
1 27 61.3802
1 28 61.4121
1 29 61.3959
1 30 61.3976
1 31 61.3627
1 32 61.3822
1 33 61.3979
1 34 61.3901
1 35 61.4201
1 36 61.4374
1 37 61.4708
1 38 61.4694
1 39 61.5237
2 0 64.5887
2 1 66.0211
2 2 65.9967
2 3 65.9594
2 4 65.9775
2 5 65.9206
2 6 65.9324
2 7 65.8968
2 8 65.8773
2 9 65.8792
2 10 65.8888
2 11 65.906
2 12 65.8728
2 13 65.995
2 14 65.8769
2 15 65.9507
2 16 65.9675
2 17 65.9612
2 18 65.9189
2 19 66.0139
2 20 66.0145
2 21 66.0039
2 22 65.9587
2 23 65.9192
2 24 65.9526
2 25 65.9412
2 26 65.907
2 27 65.9465
2 28 65.9365
2 29 65.9222
2 30 65.8165
2 31 65.9083
2 32 65.8906
2 33 65.853
2 34 65.9211
2 35 66.0005
2 36 65.9887
2 37 66.029
2 38 66.021
2 39 66.0158
